id	coin_name	current_price	symbol	currency	price	price_change_24h	marketcap	volume_24h	last_updated	volume_spike	date_added	exchange_id
2786	Filecoin	2.803277734749	FIL	USD	2.803277734749	3.71264961	1915261530.6873	216529981.4204	2025-07-19 20:41:00	NULL	2017-12-13 00:00:00	1
2787	Gigachad	0.021322243682	GIGA	USD	0.021322243682	2.88012727	198348293.1099	7960320.2920	2025-07-19 20:41:00	NULL	2024-03-21 16:22:17	1
2788	Gnosis	146.700194450147	GNO	USD	146.700194450147	2.18287968	387145041.0039	6761662.2132	2025-07-19 20:40:00	NULL	2017-05-01 00:00:00	1
2789	Gains Network	1.866229120600	GNS	USD	1.866229120600	2.71182731	53768894.7489	2499279.1916	2025-07-19 20:41:00	NULL	2021-11-01 10:00:04	1
2790	Gitcoin	0.305541476303	GTC	USD	0.305541476303	3.61254554	29449531.9961	8857925.9991	2025-07-19 20:41:00	NULL	2021-05-25 00:00:00	1
2791	Hedera	0.269198096806	HBAR	USD	0.269198096806	3.89817918	11412026087.7355	640152872.8108	2025-07-19 20:41:00	NULL	2019-09-17 00:00:00	1
2792	Holo	0.001073413990	HOT	USD	0.001073413990	3.22147782	187857912.9474	8395884.6966	2025-07-19 20:40:00	NULL	2018-04-29 00:00:00	1
2793	Huma Finance	0.035666423421	HUMA	USD	0.035666423421	1.75209790	61821800.5850	22459634.3138	2025-07-19 20:41:00	NULL	2025-05-26 11:00:00	1
2794	Hyperliquid	44.927907106587	HYPE	USD	44.927907106587	3.31507181	15002694251.3116	260688632.4563	2025-07-19 20:40:00	NULL	2024-07-15 10:14:50	1
2795	ICON	0.140897191975	ICX	USD	0.140897191975	2.44318596	150794046.2213	4081356.8892	2025-07-19 20:41:00	NULL	2017-10-27 00:00:00	1
2796	Injective	14.137175542254	INJ	USD	14.137175542254	5.89416368	1413306663.0145	121202324.6402	2025-07-19 20:41:00	NULL	2020-09-29 00:00:00	1
2797	IQ	0.004016277289	IQ	USD	0.004016277289	0.26366089	89748641.0326	3106642.2388	2025-07-19 20:40:00	NULL	2018-10-03 00:00:00	1
2798	Jupiter	0.545962308170	JUP	USD	0.545962308170	3.92505910	1640507543.5768	38552255.1117	2025-07-19 20:40:00	NULL	2024-01-31 08:38:13	1
2799	Kava	0.425027153185	KAVA	USD	0.425027153185	1.79263411	460242068.1670	9306729.6371	2025-07-19 20:41:00	NULL	2019-10-25 00:00:00	1
2800	KernelDAO	0.149215961919	KERNEL	USD	0.149215961919	1.75685014	26622485.3678	26527929.9583	2025-07-19 20:40:00	NULL	2025-04-01 13:15:11	1
2801	Kamino Finance	0.063339104675	KMNO	USD	0.063339104675	1.48261360	149020431.1974	10088153.5786	2025-07-19 20:41:00	NULL	2024-04-30 06:37:24	1
2802	Terra	0.178697832888	LUNA	USD	0.178697832888	0.47181007	126872680.6188	20541059.3499	2025-07-19 20:41:00	NULL	2022-05-26 12:47:26	1
2803	Manta Network	0.243028455150	MANTA	USD	0.243028455150	3.49240839	102684733.1110	15235768.0610	2025-07-19 20:41:00	NULL	2024-01-18 10:00:24	1
2804	Heroes of Mavia	0.182880642661	MAVIA	USD	0.182880642661	3.08607983	20470036.2566	3854150.8868	2025-07-19 20:41:00	NULL	2024-02-06 12:20:20	1
2805	Memecoin	0.002009341017	MEME	USD	0.002009341017	5.14261791	101619694.9626	27132120.9548	2025-07-19 20:41:00	NULL	2023-11-03 08:03:36	1
2806	Merlin Chain	0.106296444172	MERL	USD	0.106296444172	-0.90953180	77064922.0246	8692994.1982	2025-07-19 20:41:00	NULL	2024-04-17 02:01:42	1
2807	cat in a dogs world	0.003937983527	MEW	USD	0.003937983527	10.98878280	350042980.1537	200938096.6898	2025-07-19 20:40:00	NULL	2024-03-26 06:41:06	1
